 Matrimonios por grupos quinquenales de edad del novio, según grupos quinquenales de edad de la novia, año 2021 ;;;;;;;;;;;;;
 Edad de la novia ; Total ; Edad del novio ;;;;;;;;;;;
;; Menos de 20 ; 20-24 ; 25-29 ; 30-34 ; 35-39 ; 40-44 ; 45-49 ; 50-54 ; 55-59 ; 60-64 ; 65 y más ; Ignorado 
 Todas las edades ;87,480;3,946;26,159;24,062;13,247;6,866;4,079;2,529;1,791;1,499;1,297;2,005; - 
 Menos de 20 ;12,552;2,033;7,283;2,470;554;133;42;18;6;4;7;2; - 
 20 - 24 ;30,557;1,663;14,859;10,380;2,556;686;231;90;37;27;13;15; - 
 25 - 29 ;19,579;200;3,251;8,558;5,143;1,514;506;204;98;54;30;21; - 
 30 - 34 ;10,230;39;556;2,052;3,784;2,256;854;335;163;89;53;49; - 
 35 - 39 ;5,373;8;152;442;909;1,653;1,214;460;212;140;104;79; - 
 40 - 44 ;3,277;3;41;123;217;470;929;735;319;194;116;130; - 
 45 - 49 ;2,084; - ;10;26;63;119;234;503;501;300;152;176; - 
 50 - 54 ;1,348; - ;6;7;12;25;45;139;349;343;240;182; - 
 55 - 59 ;944; - ;1;2;3;2;14;32;77;271;303;239; - 
 60 - 64 ;645; - ; - ;1;5;6;3;10;20;55;213;332; - 
 65 y más ;891; - ; - ;1;1;2;7;3;9;22;66;780; - 
 Ignorado ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
